Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-avoiding	24	243506	854396	1532549	994	0	270738	258374	0	130813	2656	2653	125498
BFS/TD	Branch-avoiding	25	248822	874096	1591069	715	0	280920	268114	0	135804	2754	2751	130293
BFS/TD	Branch-avoiding	26	257055	902074	1633779	683	0	288635	275301	0	139453	2831	2828	133788
BFS/TD	Branch-avoiding	27	276851	914457	1621357	777	0	286321	273324	0	138377	2796	2793	132782
BFS/TD	Branch-avoiding	28	272299	946179	1693777	1282	0	298918	285390	0	144510	2880	2877	138747
BFS/TD	Branch-avoiding	29	290988	1022887	1806643	1259	0	319250	304554	0	154185	3113	3108	147960
BFS/TD	Branch-avoiding	30	284297	996696	1778689	1101	0	314009	299748	0	151782	3049	3045	145683
BFS/TD	Branch-avoiding	31	296335	1039948	1859568	439	0	328200	313361	0	158677	3181	3178	152312
BFS/TD	Branch-avoiding	32	304956	1068963	1895179	1066	0	334405	319291	0	161710	3237	3234	155233
BFS/TD	Branch-avoiding	33	308580	1089509	1937935	872	0	341941	326455	0	165371	3321	3318	158726
BFS/TD	Branch-avoiding	34	325366	1145815	2026643	1678	0	357407	341391	0	172894	3433	3430	166025
BFS/TD	Branch-avoiding	35	343959	1207478	2147581	1083	0	378962	361724	0	183259	3678	3675	175899
BFS/TD	Branch-avoiding	36	361337	1273090	2259669	1436	0	398683	380549	0	192811	3860	3857	185088
BFS/TD	Branch-avoiding	37	368592	1295570	2312925	1032	0	408443	389637	0	197396	3986	3983	189421
BFS/TD	Branch-avoiding	38	356107	1248273	2263141	1205	0	399370	381131	0	193133	3888	3885	185354
BFS/TD	Branch-avoiding	39	350320	1206147	2151743	606	0	379738	362420	0	183662	3727	3724	176205
BFS/TD	Branch-avoiding	40	334650	1179312	2055773	947	0	362513	346017	0	175395	3496	3493	168400
